Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,1981,Arable land (% of land area),AG.LND.ARBL.ZS,14.35177803
Sri Lanka,LKA,1980,Arable land (% of land area),AG.LND.ARBL.ZS,14.35177803
Sri Lanka,LKA,1979,Arable land (% of land area),AG.LND.ARBL.ZS,14.35177803
Sri Lanka,LKA,1978,Arable land (% of land area),AG.LND.ARBL.ZS,15.94642003
Sri Lanka,LKA,1977,Arable land (% of land area),AG.LND.ARBL.ZS,15.14909903
Sri Lanka,LKA,1976,Arable land (% of land area),AG.LND.ARBL.ZS,14.35177803
Sri Lanka,LKA,1975,Arable land (% of land area),AG.LND.ARBL.ZS,13.55445702
Sri Lanka,LKA,1974,Arable land (% of land area),AG.LND.ARBL.ZS,13.2993143
Sri Lanka,LKA,1973,Arable land (% of land area),AG.LND.ARBL.ZS,13.20363578
Sri Lanka,LKA,1972,Arable land (% of land area),AG.LND.ARBL.ZS,13.10795726
Sri Lanka,LKA,1971,Arable land (% of land area),AG.LND.ARBL.ZS,13.01227874
Sri Lanka,LKA,1970,Arable land (% of land area),AG.LND.ARBL.ZS,12.91660022
Sri Lanka,LKA,1969,Arable land (% of land area),AG.LND.ARBL.ZS,12.8209217
Sri Lanka,LKA,1968,Arable land (% of land area),AG.LND.ARBL.ZS,12.72524318
Sri Lanka,LKA,1967,Arable land (% of land area),AG.LND.ARBL.ZS,12.62956466
Sri Lanka,LKA,1966,Arable land (% of land area),AG.LND.ARBL.ZS,12.62956466
Sri Lanka,LKA,1965,Arable land (% of land area),AG.LND.ARBL.ZS,12.64551108
Sri Lanka,LKA,1964,Arable land (% of land area),AG.LND.ARBL.ZS,12.59767182
Sri Lanka,LKA,1963,Arable land (% of land area),AG.LND.ARBL.ZS,12.62956466
Sri Lanka,LKA,1962,Arable land (% of land area),AG.LND.ARBL.ZS,9.201084357
Sri Lanka,LKA,1961,Arable land (% of land area),AG.LND.ARBL.ZS,9.488119917
Sri Lanka,LKA,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1983.336933
Sri Lanka,LKA,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1991.592772
Sri Lanka,LKA,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,2012.404962
Sri Lanka,LKA,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.050632267
Sri Lanka,LKA,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.06333083
Sri Lanka,LKA,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.095342707
Sri Lanka,LKA,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,276.928623
Sri Lanka,LKA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,268.672784
Sri Lanka,LKA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,247.8605941
Sri Lanka,LKA,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.425952534
Sri Lanka,LKA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.413253971
Sri Lanka,LKA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.381242094
Sri Lanka,LKA,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.476584801
Sri Lanka,LKA,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.476584801
Sri Lanka,LKA,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.476584801
Sri Lanka,LKA,2022,Forest area (sq. km),AG.LND.FRST.K2,21067
Sri Lanka,LKA,2021,Forest area (sq. km),AG.LND.FRST.K2,21098.6
Sri Lanka,LKA,2020,Forest area (sq. km),AG.LND.FRST.K2,21130.2
Sri Lanka,LKA,2019,Forest area (sq. km),AG.LND.FRST.K2,21161.8
Sri Lanka,LKA,2018,Forest area (sq. km),AG.LND.FRST.K2,21193.4
Sri Lanka,LKA,2017,Forest area (sq. km),AG.LND.FRST.K2,21225
Sri Lanka,LKA,2016,Forest area (sq. km),AG.LND.FRST.K2,21256.6
Sri Lanka,LKA,2015,Forest area (sq. km),AG.LND.FRST.K2,21288.2
Sri Lanka,LKA,2014,Forest area (sq. km),AG.LND.FRST.K2,21237.8
Sri Lanka,LKA,2013,Forest area (sq. km),AG.LND.FRST.K2,21187.4
Sri Lanka,LKA,2012,Forest area (sq. km),AG.LND.FRST.K2,21137
Sri Lanka,LKA,2011,Forest area (sq. km),AG.LND.FRST.K2,21086.6
Sri Lanka,LKA,2010,Forest area (sq. km),AG.LND.FRST.K2,21036.2
Sri Lanka,LKA,2009,Forest area (sq. km),AG.LND.FRST.K2,21099
Sri Lanka,LKA,2008,Forest area (sq. km),AG.LND.FRST.K2,21161.8
Sri Lanka,LKA,2007,Forest area (sq. km),AG.LND.FRST.K2,21224.6
Sri Lanka,LKA,2006,Forest area (sq. km),AG.LND.FRST.K2,21287.4
Sri Lanka,LKA,2005,Forest area (sq. km),AG.LND.FRST.K2,21350.2
Sri Lanka,LKA,2004,Forest area (sq. km),AG.LND.FRST.K2,21413
Sri Lanka,LKA,2003,Forest area (sq. km),AG.LND.FRST.K2,21475.8
Sri Lanka,LKA,2002,Forest area (sq. km),AG.LND.FRST.K2,21538.6
Sri Lanka,LKA,2001,Forest area (sq. km),AG.LND.FRST.K2,21601.4
Sri Lanka,LKA,2000,Forest area (sq. km),AG.LND.FRST.K2,21664.2
Sri Lanka,LKA,1999,Forest area (sq. km),AG.LND.FRST.K2,21848.11
Sri Lanka,LKA,1998,Forest area (sq. km),AG.LND.FRST.K2,22032.02
Sri Lanka,LKA,1997,Forest area (sq. km),AG.LND.FRST.K2,22215.93
Sri Lanka,LKA,1996,Forest area (sq. km),AG.LND.FRST.K2,22399.84
Sri Lanka,LKA,1995,Forest area (sq. km),AG.LND.FRST.K2,22583.75
Sri Lanka,LKA,1994,Forest area (sq. km),AG.LND.FRST.K2,22767.66
Sri Lanka,LKA,1993,Forest area (sq. km),AG.LND.FRST.K2,22951.57
Sri Lanka,LKA,1992,Forest area (sq. km),AG.LND.FRST.K2,23135.48
Sri Lanka,LKA,1991,Forest area (sq. km),AG.LND.FRST.K2,23319.39
Sri Lanka,LKA,1990,Forest area (sq. km),AG.LND.FRST.K2,23503.3
Sri Lanka,LKA,2022,Forest area (% of land area),AG.LND.FRST.ZS,34.05593275
Sri Lanka,LKA,2021,Forest area (% of land area),AG.LND.FRST.ZS,34.10701584
Sri Lanka,LKA,2020,Forest area (% of land area),AG.LND.FRST.ZS,34.15809893
Sri Lanka,LKA,2019,Forest area (% of land area),AG.LND.FRST.ZS,34.20671025
Sri Lanka,LKA,2018,Forest area (% of land area),AG.LND.FRST.ZS,34.25804992
Sri Lanka,LKA,2017,Forest area (% of land area),AG.LND.FRST.ZS,34.29305414
Sri Lanka,LKA,2016,Forest area (% of land area),AG.LND.FRST.ZS,34.34411
Sri Lanka,LKA,2015,Forest area (% of land area),AG.LND.FRST.ZS,34.39516585
Sri Lanka,LKA,2014,Forest area (% of land area),AG.LND.FRST.ZS,33.86668793
Sri Lanka,LKA,2013,Forest area (% of land area),AG.LND.FRST.ZS,33.78631797
Sri Lanka,LKA,2012,Forest area (% of land area),AG.LND.FRST.ZS,33.70594801
Sri Lanka,LKA,2011,Forest area (% of land area),AG.LND.FRST.ZS,33.62557806
Sri Lanka,LKA,2010,Forest area (% of land area),AG.LND.FRST.ZS,33.5452081
Sri Lanka,LKA,2009,Forest area (% of land area),AG.LND.FRST.ZS,33.64535162
Sri Lanka,LKA,2008,Forest area (% of land area),AG.LND.FRST.ZS,33.74549514
Sri Lanka,LKA,2007,Forest area (% of land area),AG.LND.FRST.ZS,33.84563865
Sri Lanka,LKA,2006,Forest area (% of land area),AG.LND.FRST.ZS,33.94578217
Sri Lanka,LKA,2005,Forest area (% of land area),AG.LND.FRST.ZS,34.04592569
Sri Lanka,LKA,2004,Forest area (% of land area),AG.LND.FRST.ZS,34.14606921
Sri Lanka,LKA,2003,Forest area (% of land area),AG.LND.FRST.ZS,34.24621273
Sri Lanka,LKA,2002,Forest area (% of land area),AG.LND.FRST.ZS,34.34635624
Sri Lanka,LKA,2001,Forest area (% of land area),AG.LND.FRST.ZS,34.44649976
Sri Lanka,LKA,2000,Forest area (% of land area),AG.LND.FRST.ZS,34.54664328
Sri Lanka,LKA,1999,Forest area (% of land area),AG.LND.FRST.ZS,34.83991389
Sri Lanka,LKA,1998,Forest area (% of land area),AG.LND.FRST.ZS,35.1331845
Sri Lanka,LKA,1997,Forest area (% of land area),AG.LND.FRST.ZS,35.42645511
Sri Lanka,LKA,1996,Forest area (% of land area),AG.LND.FRST.ZS,35.71972572
Sri Lanka,LKA,1995,Forest area (% of land area),AG.LND.FRST.ZS,36.01299633
Sri Lanka,LKA,1994,Forest area (% of land area),AG.LND.FRST.ZS,36.30626694
Sri Lanka,LKA,1993,Forest area (% of land area),AG.LND.FRST.ZS,36.59953755
Sri Lanka,LKA,1992,Forest area (% of land area),AG.LND.FRST.ZS,36.89280816
Sri Lanka,LKA,1991,Forest area (% of land area),AG.LND.FRST.ZS,37.18607878
Sri Lanka,LKA,1990,Forest area (% of land area),AG.LND.FRST.ZS,37.47934939
Sri Lanka,LKA,2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
Sri Lanka,LKA,1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712
